airline,avail_seat_km_per_week,year_range,type_of_event,n_events
Condor,417982610,00_14,incidents,0
COPA,550491507,00_14,incidents,0
Delta / Northwest*,6525658894,00_14,incidents,24
Egyptair,557699891,00_14,incidents,4
El Al,335448023,00_14,incidents,1
Ethiopian Airlines,488560643,00_14,incidents,5
Finnair,506464950,00_14,incidents,0
Garuda Indonesia,613356665,00_14,incidents,4
Gulf Air,301379762,00_14,incidents,3
Hawaiian Airlines,493877795,00_14,incidents,1
Iberia,1173203126,00_14,incidents,5
Japan Airlines,1574217531,00_14,incidents,0
Kenya Airways,277414794,00_14,incidents,2
KLM*,1874561773,00_14,incidents,1
Korean Air,1734522605,00_14,incidents,1
LAN Airlines,1001965891,00_14,incidents,0
Lufthansa*,3426529504,00_14,incidents,3
Malaysia Airlines,1039171244,00_14,incidents,3
Pakistan International,348563137,00_14,incidents,10
Philippine Airlines,413007158,00_14,incidents,2
Qantas*,1917428984,00_14,incidents,5
Royal Air Maroc,295705339,00_14,incidents,3
SAS*,682971852,00_14,incidents,6
Saudi Arabian,859673901,00_14,incidents,11
Singapore Airlines,2376857805,00_14,incidents,2
South African,651502442,00_14,incidents,1
Southwest Airlines,3276525770,00_14,incidents,8
Sri Lankan / AirLanka,325582976,00_14,incidents,4
SWISS*,792601299,00_14,incidents,3
TACA,259373346,00_14,incidents,1
TAM,1509195646,00_14,incidents,7
TAP - Air Portugal,619130754,00_14,incidents,0
Thai Airways,1702802250,00_14,incidents,2
Turkish Airlines,1946098294,00_14,incidents,8
United / Continental*,7139291291,00_14,incidents,14
US Airways / America West*,2455687887,00_14,incidents,11
Vietnam Airlines,625084918,00_14,incidents,1
Virgin Atlantic,1005248585,00_14,incidents,0
Xiamen Airlines,430462962,00_14,incidents,2
Aer Lingus,320906734,00_14,fatal_accidents,0
Aeroflot*,1197672318,00_14,fatal_accidents,1
Aerolineas Argentinas,385803648,00_14,fatal_accidents,0
Aeromexico*,596871813,00_14,fatal_accidents,0
Air Canada,1865253802,00_14,fatal_accidents,0
Air France,3004002661,00_14,fatal_accidents,2
Air India*,869253552,00_14,fatal_accidents,1
Air New Zealand*,710174817,00_14,fatal_accidents,1
Alaska Airlines*,965346773,00_14,fatal_accidents,1
Alitalia,698012498,00_14,fatal_accidents,0
All Nippon Airways,1841234177,00_14,fatal_accidents,0
American*,5228357340,00_14,fatal_accidents,3
Austrian Airlines,358239823,00_14,fatal_accidents,0
Avianca,396922563,00_14,fatal_accidents,0
British Airways*,3179760952,00_14,fatal_accidents,0
Cathay Pacific*,2582459303,00_14,fatal_accidents,0
China Airlines,813216487,00_14,fatal_accidents,1
Condor,417982610,00_14,fatal_accidents,0
COPA,550491507,00_14,fatal_accidents,0
Delta / Northwest*,6525658894,00_14,fatal_accidents,2
Egyptair,557699891,00_14,fatal_accidents,1
El Al,335448023,00_14,fatal_accidents,0
Ethiopian Airlines,488560643,00_14,fatal_accidents,2
Finnair,506464950,00_14,fatal_accidents,0
Garuda Indonesia,613356665,00_14,fatal_accidents,2
Gulf Air,301379762,00_14,fatal_accidents,1
Hawaiian Airlines,493877795,00_14,fatal_accidents,0
Iberia,1173203126,00_14,fatal_accidents,0
