lat,lon,cluster,enrollment
40.656,-74.0055,1,1307
40.69,-73.9893,6,173
40.6695,-73.979,6,384
40.6789,-73.9314,1,901
40.6884,-73.9207,1,523
40.6918,-73.9316,1,161
40.6802,-73.9219,1,242
40.6914,-73.9322,1,151
40.667,-73.9514,1,1246
40.6753,-73.939,1,38
40.6691,-73.9618,1,1528
40.6696,-73.9556,1,124
40.6593,-73.9432,1,437
40.67,-73.9615,1,401
40.6593,-73.9432,6,87
40.6496,-73.9582,1,535
40.67,-73.9615,1,467
40.6593,-73.9432,1,414
40.6593,-73.9432,1,320
40.67,-73.9615,1,398
40.67,-73.9615,1,255
40.6496,-73.9582,1,341
40.6495,-73.9582,1,432
40.6662,-73.9239,1,184
40.6496,-73.9582,1,313
40.6496,-73.9582,1,527
40.6753,-73.939,1,318
40.6753,-73.939,1,333
40.6587,-73.9437,1,168
40.6336,-73.9175,1,293
40.6482,-73.9223,1,290
40.6587,-73.9287,1,295
40.6336,-73.9175,1,168
40.6482,-73.9223,1,499
40.6336,-73.9175,1,406
40.6336,-73.9175,6,335
40.6456,-73.8988,6,156
40.6418,-73.8987,1,442
40.6477,-73.9222,1,300
40.6418,-73.8987,6,306
40.6336,-73.9175,6,277
40.6418,-73.8987,1,318
40.6599,-73.9206,1,178
40.6947,-73.9292,1,517
40.6974,-73.9132,1,333
40.6968,-73.9111,1,311
40.6968,-73.9111,1,415
40.6953,-73.9275,1,363
40.6955,-73.9154,1,178
40.6968,-73.9111,1,355
40.6968,-73.9111,1,204
40.7425,-73.9365,1,627
40.7433,-73.9294,5,2230
40.7116,-73.909,5,1869
40.7406,-73.8742,5,2048
40.7419,-73.9282,5,1532
40.7375,-73.8879,5,1621
40.7377,-73.8535,1,893
40.7442,-73.9336,6,478
40.7442,-73.9336,6,492
40.7446,-73.9369,1,467
40.7446,-73.9369,1,424
40.7442,-73.937,6,600
40.7432,-73.8714,1,455
40.7432,-73.8714,1,190
40.7432,-73.8714,1,361
40.7295,-73.8874,1,753
40.7714,-73.781,5,3245
40.752,-73.7566,5,3633
40.7406,-73.7935,5,4031
40.7336,-73.7393,5,2076
40.7445,-73.7291,6,1159
40.7188,-73.8065,1,804
40.7298,-73.845,5,3793
40.7094,-73.8023,5,3227
40.7144,-73.7982,6,60
40.7323,-73.8533,5,1476
40.7162,-73.7989,5,2162
40.6858,-73.7835,6,578
40.7096,-73.8027,6,562
40.6969,-73.7864,1,593
40.7144,-73.7982,1,648
40.7144,-73.7982,1,422
40.7082,-73.7997,1,224
40.7085,-73.8557,6,606
40.7085,-73.8557,5,1138
40.7144,-73.7982,1,362
40.7145,-73.7983,1,400
40.6982,-73.7462,6,410
40.6982,-73.7462,6,276
40.6982,-73.7462,6,213
40.6982,-73.7462,6,509
40.6684,-73.7578,6,475
40.6684,-73.7578,6,492
40.6684,-73.7578,6,458
40.7056,-73.7529,6,553
40.6684,-73.7578,6,522
40.6917,-73.779,6,345
40.7134,-73.769,6,341
40.7515,-73.937,1,889
40.7656,-73.9331,5,2533
40.7515,-73.937,1,813
40.7578,-73.9107,5,2615
40.7565,-73.9251,6,759
40.7485,-73.9467,1,918
40.755,-73.927,6,502
40.7713,-73.9243,6,569
40.7411,-73.949700000000007,1,470
40.6109,-74.087,6,146
40.6089,-74.1043,5,1266
40.6453,-74.0818,5,2384
40.5697,-74.1069,5,2721
40.6347,-74.1427,5,1779
40.6428,-74.0792,6,626
40.5974,-74.1255,5,3437
40.5273,-74.1927,5,3931
40.5679,-74.1156,4,1235
40.582,-74.1594,6,526
40.582,-74.1594,6,467
40.8119,-73.9472,1,897
40.8018,-73.9556,1,448
40.8232,-73.8972,1,637
40.6834,-73.9258,1,642
40.7038,-73.9354,1,969
40.7058,-73.9557,1,224
40.7223,-73.9533,6,437
40.7039,-73.9534,1,769
40.7119,-73.9395,1,1085
40.7119,-73.9395,1,655
40.7119,-73.9395,1,1026
40.7154,-73.9549,1,503
40.7154,-73.9549,1,581
40.7154,-73.9549,1,671
40.6967,-73.947,1,113
40.7098,-73.9441,1,326
40.7099,-73.9437,1,593
40.7098,-73.9441,1,560
40.7056,-73.9395,1,352
40.7217,-73.9532,6,152
40.6608,-73.8864,1,470
40.6786,-73.8756,1,1154
40.677,-73.8839,1,550
40.6738,-73.8961,1,470
40.6669,-73.8949,1,299
40.6669,-73.8949,1,345
40.6669,-73.8949,1,435
40.6669,-73.8949,1,314
40.6571,-73.8739,1,504
40.6911,-73.8684,1,321
40.693,-73.8691,1,371
40.693,-73.8691,1,374
40.693,-73.8691,1,431
40.6705,-73.8745,1,307
40.6655,-73.9121,1,453
40.6743,-73.9123,1,387
40.6655,-73.9121,1,315
40.6775,-73.9042,1,234
40.6557,-73.9067,1,157
40.6557,-73.9067,1,147
40.6781,-73.9159,1,512
40.7254,-73.8113,6,689
40.765,-73.8278,5,2559
40.7387,-73.8243,5,3694
40.7349,-73.8206,5,1151
40.7657,-73.8284,1,298
40.7602,-73.8185,1,401
40.7242,-73.8092,6,588
40.7649,-73.7898,6,605
40.7496,-73.8216,1,643
40.7214,-73.8205,6,201
40.6748,-73.7834,6,843
40.5862,-73.824,6,133
40.6787,-73.837,5,2786
40.695,-73.8335,5,2190
40.6018,-73.7635,1,407
40.5862,-73.824,6,641
40.5845,-73.8255,6,1251
40.6895,-73.8412,6,945
40.6018,-73.7635,1,318
40.6709,-73.8457,6,603
40.6018,-73.7635,1,625
40.5865,-73.8227,6,351
40.5862,-73.824,6,312
40.8831,-73.8326,1,541
40.6992,-73.9451,1,352
40.8427,-73.8389,6,524
