status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,ext_media_type,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,total_interactions
1049158785120579584,2018-10-08T04:45:21Z,144592995,Rbloggers,Reading in an epub (ebook) file with the pubcrawl package https://t.co/ALYPXYNfQk #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,34,12,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
1049157497125306369,2018-10-08T04:40:14Z,144592995,Rbloggers,MMC Queues https://t.co/g6O03jNmus #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,2,1,NA,ht,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1049136122864050176,2018-10-08T03:15:18Z,144592995,Rbloggers,Acquiring data for language research (2/3): package interfaces https://t.co/QdemGMqDmQ #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,10,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1049136089955483648,2018-10-08T03:15:10Z,144592995,Rbloggers,Acquiring data for language research (3/3): web scraping https://t.co/54Gh6sRLMI #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,16,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1049132353812086784,2018-10-08T03:00:19Z,144592995,Rbloggers,Partially additive (generalized) linear model trees https://t.co/xXNu3bK7Eu #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,35,13,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
1049099620721336321,2018-10-08T00:50:15Z,144592995,Rbloggers,Sample Entropy with Rcpp https://t.co/xjoB220rcI #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,7,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
1049080746705604609,2018-10-07T23:35:15Z,144592995,Rbloggers,Daylight in Vancouver (Canada) vs Tokyo (Japan) https://t.co/HQYtTJ4J3I #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,5,0,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1049044271263883264,2018-10-07T21:10:19Z,144592995,Rbloggers,fitur 0.5.20 Release https://t.co/GN3AtxFXYl #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,3,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1049027914937901061,2018-10-07T20:05:19Z,144592995,Rbloggers,The myth of interpretability of econometric models https://t.co/9s6bnwqJ3C #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,25,6,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
1049027881588805632,2018-10-07T20:05:11Z,144592995,Rbloggers,Holt-Winters with a Quantile Loss Function https://t.co/OxdKvLb32g #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,6,0,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
