name,pop,lat,lon,count,percent
Minnetonka,52369,44.9324,-93.4601,2,0.01%
La Crosse,52109,43.8234,-91.2279,2,0.01%
Murray,49230,40.6498,-111.8875,2,0.01%
Harrisburg,48904,40.2752,-76.8843,2,0.01%
Bentonville,47093,36.3579,-94.2286,2,0.01%
Danville,44631,37.8121,-121.9698,2,0.01%
Moorhead,42492,46.8674,-96.7457,2,0.01%
Brea,42471,33.9255,-117.8654,2,0.01%
Westfield,41552,42.1382,-72.7561,2,0.01%
Manassas,41483,38.748,-77.484,2,0.01%
Hickory,40567,35.7425,-81.323,2,0.01%
Marlborough,39697,42.3494,-71.5468,2,0.01%
Hurst,39160,32.8353,-97.1808,2,0.01%
Pacifica,39062,37.6112,-122.4781,2,0.01%
El Paso,683080,31.8478,-106.431,1,0.01%
Fresno,522053,36.7834,-119.7933,1,0.01%
Anaheim,351043,33.839,-117.8572,1,0.01%
Henderson,292969,36.0145,-115.0362,1,0.01%
Chesapeake,237940,36.6778,-76.3024,1,0.01%
Gilbert,237133,33.3103,-111.7463,1,0.01%
Garland,234943,32.91,-96.6305,1,0.01%
Modesto,212175,37.6371,-121.003,1,0.01%
Fontana,209665,34.0967,-117.4599,1,0.01%
Montgomery,200022,32.347,-86.2663,1,0.01%
Augusta,197081,33.3644,-82.0708,1,0.01%
Shreveport,194920,32.4659,-93.7959,1,0.01%
Newport News,181825,37.1052,-76.5185,1,0.01%
Oceanside,175464,33.2247,-117.3083,1,0.01%
Elk Grove,169743,38.416,-121.3841,1,0.01%
Corona,166785,33.8623,-117.5642,1,0.01%
Joliet,148262,41.5201,-88.1503,1,0.01%
Bridgeport,145936,41.1909,-73.1958,1,0.01%
Killeen,143400,31.0758,-97.7286,1,0.01%
McAllen,142212,26.2203,-98.2457,1,0.01%
Miramar,138449,25.9773,-80.3357,1,0.01%
Surprise,132677,33.6802,-112.4525,1,0.01%
Roseville,132671,38.7683,-121.3164,1,0.01%
Cedar Rapids,131127,41.9667,-91.6781,1,0.01%
Evansville,119477,37.9882,-87.5339,1,0.01%
Independence,117030,39.0871,-94.3503,1,0.01%
El Monte,115807,34.0739,-118.0291,1,0.01%
Carlsbad,113952,33.1246,-117.2836,1,0.01%
West Jordan,113699,40.6024,-112.0008,1,0.01%
Pearland,113570,29.5585,-95.3201,1,0.01%
Elgin,112123,42.0385,-88.3227,1,0.01%
