year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
2010,32,17,Kansas,857658,2011497
2010,51,18,Kentucky,1417995,3198093
2010,45,19,Louisiana,1298649,3249524
2010,2,20,Maine,580584,1038201
2010,52,21,Maryland,1868179,4001034
2010,3,22,Massachusetts,2319963,4693670
2010,23,23,Michigan,3268217,7245281
2010,33,24,Minnesota,2123369,3802677
2010,46,25,Mississippi,NA,2129334
2010,34,26,Missouri,1997271,4366435
2010,64,27,Montana,367096,758653
2010,35,28,Nebraska,503514,1301483
2010,65,29,Nevada,723515,1747288
2010,4,30,New Hampshire,461423,999918
2010,12,31,New Jersey,2200974,5834037
2010,66,32,New Mexico,630013,1408872
2010,13,33,New York,4763899,13135048
2010,47,34,North Carolina,2700706,6785463
2010,36,35,North Dakota,241039,516974
2010,24,36,Ohio,3956028,8571952
2010,53,37,Oklahoma,1043507,2666767
2010,72,38,Oregon,1487210,2760607
2010,14,39,Pennsylvania,4055336,9565822
2010,5,40,Rhode Island,346357,763534
2010,48,41,South Carolina,1365480,3388417
2010,37,42,South Dakota,323410,599507
2010,54,43,Tennessee,1620619,4622919
2010,49,44,Texas,5066957,15514007
2010,67,45,Utah,653274,1772934
2010,6,46,Vermont,243617,488942
2010,40,47,Virginia,2214505,5660589
2010,73,48,Washington,2565589,4724350
2010,56,49,West Virginia,536493,1442003
2010,25,50,Wisconsin,2185021,4172130
2010,68,51,Wyoming,190822,414536
2008,0,0,United States,132609063,213313508
2008,41,1,Alabama,2105622,3454510
2008,81,2,Alaska,327341,479429
2008,61,3,Arizona,2320851,4046075
2008,42,4,Arkansas,1095958,2071563
2008,71,5,California,13743177,22261504
2008,62,6,Colorado,2422236,3382959
2008,1,7,Connecticut,NA,2471082
2008,11,8,Delaware,413562,628200
2008,55,9,District of Columbia,266871,432566
2008,43,10,Florida,8453743,12687407
2008,44,11,Georgia,3940705,6281872
2008,82,12,Hawaii,456064,930067
2008,63,13,Idaho,667506,1029416
2008,21,14,Illinois,5578195,8681138
2008,22,15,Indiana,2805986,4653019
2008,31,16,Iowa,1543662,2216094
2008,32,17,Kansas,1264208,1991759
2008,51,18,Kentucky,1858578,3152629
2008,45,19,Louisiana,1979852,3205794
2008,2,20,Maine,744456,1036242
2008,52,21,Maryland,2661905,3925117
2008,3,22,Massachusetts,3102995,4612550
